index,non-gendered,gendered,corrected,was_gendered
3443,"Generell erscheint es ohnehin sinnvoll, von einem Übergangszeitraum ab ca. 500 bis ca. 600 n. Chr. auszugehen, anstatt feste Daten zu wählen.
","Generell erscheint es ohnehin sinnvoll, von einem Übergangszeitraum ab ca. 500 bis ca. 600 n. Chr. auszugehen, anstatt feste Daten zu wählen.
","Generell erscheint es ohnehin sinnvoll, von einem Übergangszeitraum ab ca. 500 bis ca. 600 n. Chr. auszugehen, anstatt feste Daten zu wählen.
",False
3444,"Der Begriff Antike wurde lange Zeit räumlich mit der griechischen, hellenistischen und später römischen Welt gleichgesetzt.
","Der Begriff Antike wurde lange Zeit räumlich mit der griechischen, hellenistischen und später römischen Welt gleichgesetzt.
","Der Begriff Antike wurde lange Zeit räumlich mit der griechischen, hellenistischen und später römischen Welt gleichgesetzt.
",False
3445,"Über diese Definition, die durch die Klassische Altertumswissenschaft geprägt wurde, geht der universalhistorische Antike-Begriff hinaus, der unter anderem von dem Historiker Eduard Meyer im 19. Jahrhundert gefordert wurde.
","Über diese Definition, die durch die Klassische Altertumswissenschaft geprägt wurde, geht der universalhistorische Antike-Begriff hinaus, der unter anderem von dem Historiker Eduard Meyer im 19. Jahrhundert gefordert wurde.
","Über diese Definition, die durch die klassische Altertumswissenschaft geprägt wurde, geht der universalhistorische Antike-Begriff hinaus, der unter anderem von dem Historiker Eduard Meyer im 19. Jahrhundert gefordert wurde.
",False
3446,"In jüngerer Zeit wurde er von dem deutschen Althistoriker Josef Wiesehöfer wieder aufgegriffen.
","In jüngerer Zeit wurde er von dem deutschen Althistoriker Josef Wiesehöfer wieder aufgegriffen.
","In jüngerer Zeit wurde er von dem deutschen Althistoriker Josef Wiesehöfer wieder aufgegriffen.
",False
3447,"Die Mehrheit der heutigen Forscher ordnet jedoch den Alten Orient und das alte Ägypten zwar dem „Altertum“, nicht aber der „Antike“ zu.
","Die Mehrheit der heutigen Forscher ordnet jedoch den Alten Orient und das alte Ägypten zwar dem „Altertum“, nicht aber der „Antike“ zu.
","Die Mehrheit der heutigen Forscher ordnet jedoch den Alten Orient und das alte Ägypten zwar dem „Altertum“, nicht aber der „Antike“ zu.
",False
3448,"Die Ursprünge der europäischen Antike liegen im Dunkeln.
","Die Ursprünge der europäischen Antike liegen im Dunkeln.
","Die Ursprünge der europäischen Antike liegen im Dunkeln.
",False
3449,"Ihre Vorgeschichte ist etwa in der Zeit von ca. 2000 bis ca. 1600 v. Chr. im Mittelhelladikum anzusiedeln.
","Ihre Vorgeschichte ist etwa in der Zeit von ca. 2000 bis ca. 1600 v. Chr. im Mittelhelladikum anzusiedeln.
","Ihre Vorgeschichte ist etwa in der Zeit von ca. 2000 bis ca. 1600 v. Chr. im Mittelhelladikum anzusiedeln.
",False
3450,"Zu Beginn dieses Zeitabschnitts – teils auch schon im letzten Abschnitt des Frühhelladikums FH III ca. 2200–2000 v. Chr. – wanderten wahrscheinlich indogermanische Stämme, von Norden kommend, in Griechenland ein.
","Zu Beginn dieses Zeitabschnitts – teils auch schon im letzten Abschnitt des Frühhelladikums FH III ca. 2200–2000 v. Chr. – wanderten wahrscheinlich indogermanische Stämme, von Norden kommend, in Griechenland ein.
","Zu Beginn dieses Zeitabschnitts – teils auch schon im letzten Abschnitt des Frühhelladikums FH III ca. 2200–2000 v. Chr. – wanderten wahrscheinlich indogermanische Stämme, von Norden kommend, in Griechenland ein.
",False
3451,"Offenbar unter dem Einfluss der minoischen Kultur auf Kreta, der ersten Hochkultur Europas, die ihre Blüte von ca. 1900 bis 1450 v. Chr. hatte, entwickelte sich auf dem Festland aus der Kultur des Mittelhelladikums die mykenische Kultur (ca. 1600 bis 1050/00 v. Chr.).
","Offenbar unter dem Einfluss der minoischen Kultur auf Kreta, der ersten Hochkultur Europas, die ihre Blüte von ca. 1900 bis 1450 v. Chr. hatte, entwickelte sich auf dem Festland aus der Kultur des Mittelhelladikums die mykenische Kultur (ca. 1600 bis 1050/00 v. Chr.).
","Offenbar unter dem Einfluss der minoischen Kultur auf Kreta, der ersten Hochkultur Europas, die ihre Blüte von ca. 1900 bis 1450 v. Chr. hatte, entwickelte sich auf dem Festland aus der Kultur des Mittelhelladikums die mykenische Kultur (ca. 1600 bis 1050/00 v. Chr.).
",False
3452,"Sie hatte ihren Ausgangspunkt vermutlich in der Argolis und erscheint unvermittelt mit reichen Schachtgräbern ab ca. 1600 v. Chr. Unter anderem übernahm die mykenische Kultur von der minoischen die Schrift.
","Sie hatte ihren Ausgangspunkt vermutlich in der Argolis und erscheint unvermittelt mit reichen Schachtgräbern ab ca. 1600 v. Chr. Unter anderem übernahm die mykenische Kultur von der minoischen die Schrift.
","Sie hatte ihren Ausgangspunkt vermutlich in der Argolis und erscheint unvermittelt mit reichen Schachtgräbern ab ca. 1600 v. Chr. Unter anderem übernahm die mykenische Kultur von der minoischen die Schrift.
",False
3453,"Die auf Kreta (unter anderem) verwendete sog. Linear A-Schrift des 17. bis 15. Jahrhunderts v. Chr. wurde zur sog. Linear B-Schrift (15. bis 12. Jahrhundert v. Chr.) weiterentwickelt.
","Die auf Kreta (unter anderem) verwendete sog. Linear A-Schrift des 17. bis 15. Jahrhunderts v. Chr. wurde zur sog. Linear B-Schrift (15. bis 12. Jahrhundert v. Chr.) weiterentwickelt.
","Die auf Kreta (unter anderem) verwendete sog. Linear A-Schrift des 17. bis 15. Jahrhunderts v. Chr. wurde zur sog. Linear B-Schrift (15. bis 12. Jahrhundert v. Chr.) weiterentwickelt.
",False
3454,"Dieser begegnet man auf zahlreichen Tontäfelchen unter anderem der Paläste in Pylos, Theben, Mykene auf dem griechischen Festland und in den zu jener Zeit mittlerweile mykenisch beherrschten Zentren Kydonia und Knossos auf Kreta.
","Dieser begegnet man auf zahlreichen Tontäfelchen unter anderem der Paläste in Pylos, Theben, Mykene auf dem griechischen Festland und in den zu jener Zeit mittlerweile mykenisch beherrschten Zentren Kydonia und Knossos auf Kreta.
","Dieser begegnet man auf zahlreichen Tontäfelchen unter anderem der Paläste in Pylos, Theben, Mykene auf dem griechischen Festland und in den zu jener Zeit mittlerweile mykenisch beherrschten Zentren Kydonia und Knossos auf Kreta.
",False
3455,"Bekannt sind die prächtigen Zentren der mykenischen Kultur.
","Bekannt sind die prächtigen Zentren der mykenischen Kultur.
","Bekannt sind die prächtigen Zentren der mykenischen Kultur.
",False
3456,"Zu den bedeutenden Fundorten gehören Mykene, Pylos und Tiryns auf der Halbinsel Peloponnes, Orchomenos und Gla (letzteres kein Palastzentrum) in Boiotien sowie das stark mykenisch geprägte Milet in Westkleinasien.
","Zu den bedeutenden Fundorten gehören Mykene, Pylos und Tiryns auf der Halbinsel Peloponnes, Orchomenos und Gla (letzteres kein Palastzentrum) in Boiotien sowie das stark mykenisch geprägte Milet in Westkleinasien.
","Zu den bedeutenden Fundorten gehören Mykene, Pylos und Tiryns auf der Halbinsel Peloponnes, Orchomenos und Gla (letzteres kein Palastzentrum) in Boiotien sowie das stark mykenisch geprägte Milet in Westkleinasien.
",False
3457,"Die Zentren hatten Oberstädte (Akropolen), Burgen genannt, die im 13. Jahrhundert v. Chr. in einigen Fällen stark befestigt bzw. deren Befestigungen stark ausgebaut wurden (Mykene, Tiryns, Athen).
","Die Zentren hatten Oberstädte (Akropolen), Burgen genannt, die im 13. Jahrhundert v. Chr. in einigen Fällen stark befestigt bzw. deren Befestigungen stark ausgebaut wurden (Mykene, Tiryns, Athen).
","Die Zentren hatten Oberstädte (Akropolen), Burgen genannt, die im 13. Jahrhundert v. Chr. in einigen Fällen stark befestigt bzw. deren Befestigungen stark ausgebaut wurden (Mykene, Tiryns, Athen).
",False
3458,"Reiche Kuppelgräber, feine, teils reich bemalte Keramik, kunstvolle Gold-, Silber- und Fayence-Arbeiten usw. zeugen vom Reichtum und von der Spezialisierung des Wirtschaftssystems, das in Teilen Griechenlands ab ca. 1400 v. Chr. von mächtigen Palastzenten, die größere Regionen beherrschten, zentral gesteuert wurde (so in Böotien, Attika, Messenien und in der Argolis; s. dazu auch Mykenische Palastzeit).
","Reiche Kuppelgräber, feine, teils reich bemalte Keramik, kunstvolle Gold-, Silber- und Fayence-Arbeiten usw. zeugen vom Reichtum und von der Spezialisierung des Wirtschaftssystems, das in Teilen Griechenlands ab ca. 1400 v. Chr. von mächtigen Palastzenten, die größere Regionen beherrschten, zentral gesteuert wurde (so in Böotien, Attika, Messenien und in der Argolis; s. dazu auch Mykenische Palastzeit).
","Reiche Kuppelgräber, feine, teils reich bemalte Keramik, kunstvolle Gold-, Silber- und Fayence-Arbeiten usw. zeugen vom Reichtum und von der Spezialisierung des Wirtschaftssystems, das in Teilen Griechenlands ab ca. 1400 v. Chr. von mächtigen Palastzenten, die größere Regionen beherrschten, zentral gesteuert wurde (so in Böotien, Attika, Messenien und in der Argolis; s. dazu auch Mykenische Palastzeit).
",False
3459,"Intensive Handelskontakte wurden mit dem Nahen Osten, Assyrien und Ägypten gepflegt.
","Intensive Handelskontakte wurden mit dem Nahen Osten, Assyrien und Ägypten gepflegt.
","Intensive Handelskontakte wurden mit dem Nahen Osten, Assyrien und Ägypten gepflegt.
",False
3460,"Mykenische Keramik war in weiten Teilen des Mittelmeergebiets beliebt; möglicherweise ließen sich in manchen Siedlungen Süditaliens (Roca Vecchia, Punta Meliso, Scoglio del Tonno) sogar Handwerker nieder.
","Mykenische Keramik war in weiten Teilen des Mittelmeergebiets beliebt; möglicherweise ließen sich in manchen Siedlungen Süditaliens (Roca Vecchia, Punta Meliso, Scoglio del Tonno) sogar Handwerker nieder.
","Mykenische Keramik war in weiten Teilen des Mittelmeergebiets beliebt; möglicherweise ließen sich in manchen Siedlungen Süditaliens (Roca Vecchia, Punta Meliso, Scoglio del Tonno) sogar Handwerker nieder.
",False
3461,"Etwa für den Zeitraum 1200 bis 750 v. Chr. setzt man traditionell das Dunkle Zeitalter an, aus dem vergleichsweise wenig überliefert ist.
","Etwa für den Zeitraum 1200 bis 750 v. Chr. setzt man traditionell das Dunkle Zeitalter an, aus dem vergleichsweise wenig überliefert ist.
","Etwa für den Zeitraum 1200 bis 750 v. Chr. setzt man traditionell das Dunkle Zeitalter an, aus dem vergleichsweise wenig überliefert ist.
",False
3462,"Zu Beginn dieser Phase wurden viele der Zentren des griechischen Festlands zerstört, womit die Grundlage der Palastkultur unterging.
","Zu Beginn dieser Phase wurden viele der Zentren des griechischen Festlands zerstört, womit die Grundlage der Palastkultur unterging.
","Zu Beginn dieser Phase wurden viele der Zentren des griechischen Festlands zerstört, womit die Grundlage der Palastkultur unterging.
",False
3463,"Die mykenische Kultur bestand jedoch noch etwa 150 Jahre weiter, erlebte in einigen Regionen ab Mitte des 12. Jahrhunderts sogar eine gewisse Nachblüte, bevor der Übergang in die sogenannte Protogeometrische Periode (ca. 1050/00–900 v. Chr.) erfolgte.
","Die mykenische Kultur bestand jedoch noch etwa 150 Jahre weiter, erlebte in einigen Regionen ab Mitte des 12. Jahrhunderts sogar eine gewisse Nachblüte, bevor der Übergang in die sogenannte Protogeometrische Periode (ca. 1050/00–900 v. Chr.) erfolgte.
","Die mykenische Kultur bestand jedoch noch etwa 150 Jahre weiter, erlebte in einigen Regionen ab Mitte des 12. Jahrhunderts sogar eine gewisse Nachblüte, bevor der Übergang in die sogenannte Protogeometrische Periode (ca. 1050/00–900 v. Chr.) erfolgte.
",False
3464,"Ungefähr zur gleichen Zeit, als sich um 1200 v. Chr. in Griechenland - und auch an anderen Regionen des östlichen Mittelmeerraums (s. auch Ende des Hethiterreichs, Seevölker) - Zerstörungen und Umwälzungen ereigneten, entstanden auf Zypern und einigen Orten Südkleinasiens (z. B. Tarsus und Mersin) mykenisch geprägte Siedlungen.
","Ungefähr zur gleichen Zeit, als sich um 1200 v. Chr. in Griechenland - und auch an anderen Regionen des östlichen Mittelmeerraums (s. auch Ende des Hethiterreichs, Seevölker) - Zerstörungen und Umwälzungen ereigneten, entstanden auf Zypern und einigen Orten Südkleinasiens (z. B. Tarsus und Mersin) mykenisch geprägte Siedlungen.
","Ungefähr zur gleichen Zeit, als sich um 1200 v. Chr. in Griechenland - und auch an anderen Regionen des östlichen Mittelmeerraums (s. auch Ende des Hethiterreichs, Seevölker) - Zerstörungen und Umwälzungen ereigneten, entstanden auf Zypern und einigen Orten Südkleinasiens (z. B. Tarsus und Mersin) mykenisch geprägte Siedlungen.
",False
3465,"Westhandel, speziell mit Italien und Sardinien, wurde auch im 12. Jahrhundert v. Chr. weiterhin betrieben, teilweise auch noch im 11. Jahrhundert v. Chr. Der Überlieferung nach setzte ca. 1050 v. Chr. die sehr umstrittene Ionische Wanderung ein, in deren Verlauf die Einwohner des griechischen Festlandes die Inseln der Ägäis und die Westküste Kleinasiens kolonisierten.
","Westhandel, speziell mit Italien und Sardinien, wurde auch im 12. Jahrhundert v. Chr. weiterhin betrieben, teilweise auch noch im 11. Jahrhundert v. Chr. Der Überlieferung nach setzte ca. 1050 v. Chr. die sehr umstrittene Ionische Wanderung ein, in deren Verlauf die Einwohner des griechischen Festlandes die Inseln der Ägäis und die Westküste Kleinasiens kolonisierten.
","Westhandel, speziell mit Italien und Sardinien, wurde auch im 12. Jahrhundert v. Chr. weiterhin betrieben, teilweise auch noch im 11. Jahrhundert v. Chr. Der Überlieferung nach setzte ca. 1050 v. Chr. die sehr umstrittene Ionische Wanderung ein, in deren Verlauf die Einwohner des griechischen Festlandes die Inseln der Ägäis und die Westküste Kleinasiens kolonisierten.
",False
3466,"Auf dem griechischen Festland bietet sich ein diffuses Bild: Wenige Siedlungen wurden bisher entdeckt und die meisten machen einen – im Vergleich zur mykenischen Zeit – ärmlichen Eindruck.
","Auf dem griechischen Festland bietet sich ein diffuses Bild: Wenige Siedlungen wurden bisher entdeckt und die meisten machen einen – im Vergleich zur mykenischen Zeit – ärmlichen Eindruck.
","Auf dem griechischen Festland bietet sich ein diffuses Bild: Wenige Siedlungen wurden bisher entdeckt und die meisten machen einen – im Vergleich zur mykenischen Zeit – ärmlichen Eindruck.
",False
3467,"Ganz anders hingegen Lefkandi auf Euböa: dort wurden neben einer Siedlung mit einem großen Gebäude des Fürsten von Lefkandi Gräber gefunden, die sehr reich ausgestattet waren.
","Ganz anders hingegen Lefkandi auf Euböa: dort wurden neben einer Siedlung mit einem großen Gebäude des Fürsten von Lefkandi Gräber gefunden, die sehr reich ausgestattet waren.
","Ganz anders hingegen Lefkandi auf Euböa: dort wurden neben einer Siedlung mit einem großen Gebäude des Fürsten von Lefkandi Gräber gefunden, die sehr reich ausgestattet waren.
",False
3468,"Das Dunkle Zeitalter hellt sich in den letzten Jahrzehnten – dank vieler neuer Funde, vor allem, aber nicht nur, aus der mykenischen Spätphase des 12./11. Jahrhunderts v. Chr. – immer mehr auf.
","Das Dunkle Zeitalter hellt sich in den letzten Jahrzehnten – dank vieler neuer Funde, vor allem, aber nicht nur, aus der mykenischen Spätphase des 12./11. Jahrhunderts v. Chr. – immer mehr auf.
","Das Dunkle Zeitalter hellt sich in den letzten Jahrzehnten – dank vieler neuer Funde, vor allem, aber nicht nur, aus der mykenischen Spätphase des 12./11. Jahrhunderts v. Chr. – immer mehr auf.
",False
3469,"Nach Annahme der Homer-Forschung spiegeln unterschiedliche Passagen der Ilias die Verhältnisse dieser Zeit wider.
","Nach Annahme der Homer-Forschung spiegeln unterschiedliche Passagen der Ilias die Verhältnisse dieser Zeit wider.
","Nach Annahme der Homer-Forschung spiegeln unterschiedliche Passagen der Ilias die Verhältnisse dieser Zeit wider.
",False
3470,"Sie war offenbar auch für die Entwicklung der griechischen Gesellschaft zur Polis hin wichtig.
","Sie war offenbar auch für die Entwicklung der griechischen Gesellschaft zur Polis hin wichtig.
","Sie war offenbar auch für die Entwicklung der griechischen Gesellschaft zur Polis hin wichtig.
",False
3471,"Ab dem 8. Jahrhundert waren die Kontakte zum Vorderen Orient wieder sehr intensiv, und es entstanden Handelsstationen auf Zypern (Kition) und in Syrien (Al Mina).
","Ab dem 8. Jahrhundert waren die Kontakte zum Vorderen Orient wieder sehr intensiv, und es entstanden Handelsstationen auf Zypern (Kition) und in Syrien (Al Mina).
","Ab dem 8. Jahrhundert waren die Kontakte zum Vorderen Orient wieder sehr intensiv, und es entstanden Handelsstationen auf Zypern (Kition) und in Syrien (Al Mina).
",False
3472,"Vermutlich bereits im späten 9. Jahrhundert v. Chr. hat man von den Phöniziern das Alphabet vermittelt bekommen.
","Vermutlich bereits im späten 9. Jahrhundert v. Chr. hat man von den Phöniziern das Alphabet vermittelt bekommen.
","Vermutlich bereits im späten 9. Jahrhundert v. Chr. hat man von den Phöniziern das Alphabet vermittelt bekommen.
",False
3473,"Mit dem so genannten archaischen Zeitalter begann im frühen 8. Jahrhundert v. Chr. die eigentliche Antike.
","Mit dem so genannten archaischen Zeitalter begann im frühen 8. Jahrhundert v. Chr. die eigentliche Antike.
","Mit dem sogenannten archaischen Zeitalter begann im frühen 8. Jahrhundert v. Chr. die eigentliche Antike.
",False
3474,"Seit dem Jahr 776 v. Chr. ist die Siegerliste der Olympischen Spiele überliefert.
","Seit dem Jahr 776 v. Chr. ist die Siegerliste der Olympischen Spiele überliefert.
","Seit dem Jahr 776 v. Chr. ist die Siegerliste der Olympischen Spiele überliefert.
",False
3475,"Von etwa 770 bis 540 v. Chr. breiteten sich die Griechen während der Großen Kolonisation im westlichen Mittelmeer (vor allem Sizilien und Unteritalien, siehe auch Magna Graecia, und bis Marseille), an der nördlichen Ägäis und am Schwarzen Meer aus.
","Von etwa 770 bis 540 v. Chr. breiteten sich die Griechen während der Großen Kolonisation im westlichen Mittelmeer (vor allem Sizilien und Unteritalien, siehe auch Magna Graecia, und bis Marseille), an der nördlichen Ägäis und am Schwarzen Meer aus.
","Von etwa 770 bis 540 v. Chr. breiteten sich die Griechen während der großen Kolonisation im westlichen Mittelmeer (vor allem Sizilien und Unteritalien, siehe auch Magna Graecia, und bis Marseille), an der nördlichen Ägäis und am Schwarzen Meer aus.
",False
3476,"In Kleinasien waren Griechen bereits vorher ansässig.
","In Kleinasien waren Griechen bereits vorher ansässig.
","In Kleinasien waren Griechen bereits vorher ansässig.
",False
3477,"In dieser Zeit (etwa zwischen 750 und 650 v. Chr.) wurden vermutlich auch die Homerischen Epen (Ilias und Odyssee) schriftlich fixiert, die ältesten Literaturdenkmäler des Abendlands.
","In dieser Zeit (etwa zwischen 750 und 650 v. Chr.) wurden vermutlich auch die Homerischen Epen (Ilias und Odyssee) schriftlich fixiert, die ältesten Literaturdenkmäler des Abendlands.
","In dieser Zeit (etwa zwischen 750 und 650 v. Chr.) wurden vermutlich auch die Homerischen Epen (Ilias und Odyssee) schriftlich fixiert, die ältesten Literaturdenkmäler des Abendlands.
",False
3478,"Die ältesten tatsächlich erhaltenen Papyrusfragmente dieser Texte stammen aus dem 3. Jahrhundert v. Chr., die ältesten Codices mit längeren Textpassagen tauchen im Mittelalter (ca. 10. Jahrhundert n. Chr.) auf, wie generell der Großteil der erhaltenen antiken Literatur vor allem in mittelalterlichen Handschriften überliefert ist.
","Die ältesten tatsächlich erhaltenen Papyrusfragmente dieser Texte stammen aus dem 3. Jahrhundert v. Chr., die ältesten Codices mit längeren Textpassagen tauchen im Mittelalter (ca. 10. Jahrhundert n. Chr.) auf, wie generell der Großteil der erhaltenen antiken Literatur vor allem in mittelalterlichen Handschriften überliefert ist.
","Die ältesten tatsächlich erhaltenen Papyrusfragmente dieser Texte stammen aus dem 3. Jahrhundert v. Chr., die ältesten Codices mit längeren Textpassagen tauchen im Mittelalter (ca. 10. Jahrhundert n. Chr.) auf, wie generell der Großteil der erhaltenen antiken Literatur vor allem in mittelalterlichen Handschriften überliefert ist.
",False
3479,"Hesiod wirkte ebenfalls etwa in der Zeit um 700 v. Chr.
","Hesiod wirkte ebenfalls etwa in der Zeit um 700 v. Chr.
","Hesiod wirkte ebenfalls etwa in der Zeit um 700 v. Chr.
",False
3480,"Zugleich bildete sich das System der griechischen Stadtstaaten, der Poleis, heraus, wobei diese in der Mehrzahl nur eine sehr kleine Bevölkerung umfassten.
","Zugleich bildete sich das System der griechischen Stadtstaaten, der Poleis, heraus, wobei diese in der Mehrzahl nur eine sehr kleine Bevölkerung umfassten.
","Zugleich bildete sich das System der griechischen Stadtstaaten, der Poleis, heraus, wobei diese in der Mehrzahl nur eine sehr kleine Bevölkerung umfassten.
",False
3481,"Der werdende Militärstaat Sparta im Süden der Peloponnes unterwarf zwischen 720 und 600 v. Chr. Messenien und kontrollierte damit den gesamten südwestlichen Teil der Halbinsel.
","Der werdende Militärstaat Sparta im Süden der Peloponnes unterwarf zwischen 720 und 600 v. Chr. Messenien und kontrollierte damit den gesamten südwestlichen Teil der Halbinsel.
","Der werdende Militärstaat Sparta im Süden der Peloponnes unterwarf zwischen 720 und 600 v. Chr. Messenien und kontrollierte damit den gesamten südwestlichen Teil der Halbinsel.
",False
3482,"Die Stadt mit ihrer oligarchischen Verfassung kann als das erste Beispiel für die fortan herrschende Polis-Struktur gelten.
","Die Stadt mit ihrer oligarchischen Verfassung kann als das erste Beispiel für die fortan herrschende Polis-Struktur gelten.
","Die Stadt mit ihrer oligarchischen Verfassung kann als das erste Beispiel für die fortan herrschende Polis-Struktur gelten.
",False
3483,"Auch in vielen anderen griechischen Stadtstaaten regelten Verfassungen das Zusammenleben der Bürger, aber auch die Tyrannis, wie sie um 650 v. Chr. beispielsweise in Korinth und Megara bestand, war keine Seltenheit.
","Auch in vielen anderen griechischen Stadtstaaten regelten Verfassungen das Zusammenleben der Bürger, aber auch die Tyrannis, wie sie um 650 v. Chr. beispielsweise in Korinth und Megara bestand, war keine Seltenheit.
","Auch in vielen anderen griechischen Stadtstaaten regelten Verfassungen das Zusammenleben der Bürger, aber auch die Tyrannis, wie sie um 650 v. Chr. beispielsweise in Korinth und Megara bestand, war keine Seltenheit.
",False
3484,"In Athen bildete sich unter wechselnden Voraussetzungen schließlich ein demokratisches System heraus.
","In Athen bildete sich unter wechselnden Voraussetzungen schließlich ein demokratisches System heraus.
","In Athen bildete sich unter wechselnden Voraussetzungen schließlich ein demokratisches System heraus.
",False
3485,"Nach den Gesetzgebungen Drakons (621 v. Chr.) und Solons (594/593 v. Chr.) gelang es Peisistratos und seinen Söhnen etwa zwischen 561 und 510 v. Chr. zwar noch einmal, eine Tyrannis zu errichten.
","Nach den Gesetzgebungen Drakons (621 v. Chr.) und Solons (594/593 v. Chr.) gelang es Peisistratos und seinen Söhnen etwa zwischen 561 und 510 v. Chr. zwar noch einmal, eine Tyrannis zu errichten.
","Nach den Gesetzgebungen Drakons (621 v. Chr.) und Solons (594/593 v. Chr.) gelang es Peisistratos und seinen Söhnen etwa zwischen 561 und 510 v. Chr. zwar noch einmal, eine Tyrannis zu errichten.
",False
3486,"Bis 501 v. Chr. brachten die Reformen des Kleisthenes von Athen aber den Durchbruch für die Attische Demokratie.
","Bis 501 v. Chr. brachten die Reformen des Kleisthenes von Athen aber den Durchbruch für die Attische Demokratie.
","Bis 501 v. Chr. brachten die Reformen des Kleisthenes von Athen aber den Durchbruch für die Attische Demokratie.
",False
3487,"Mit Athens Unterstützung der kleinasiatischen Griechenstädte im Ionischen Aufstand um 500 v. Chr. begann ein annähernd zweihundertjähriger Konflikt mit dem Perserreich, zunächst in Gestalt der drei Perserkriege, die der Historiker Herodot, der „Vater der Geschichtsschreibung“ (mit ihm lässt man traditionell die griechische Geschichtsschreibung beginnen, vgl. Liste der griechischsprachigen Geschichtsschreiber der Antike), in seinen Historien geschildert hat, wenngleich nicht immer zuverlässig.
","Mit Athens Unterstützung der kleinasiatischen Griechenstädte im Ionischen Aufstand um 500 v. Chr. begann ein annähernd zweihundertjähriger Konflikt mit dem Perserreich, zunächst in Gestalt der drei Perserkriege, die der Historiker Herodot, der „Vater der Geschichtsschreibung“ (mit ihm lässt man traditionell die griechische Geschichtsschreibung beginnen, vgl. Liste der griechischsprachigen Geschichtsschreiber der Antike), in seinen Historien geschildert hat, wenngleich nicht immer zuverlässig.
","Mit Athens Unterstützung der kleinasiatischen Griechenstädte im Ionischen Aufstand um 500 v. Chr. begann ein annähernd zweihundertjähriger Konflikt mit dem Perserreich, zunächst in Gestalt der drei Perserkriege, die der Historiker Herodot, der „Vater der Geschichtsschreibung“ (mit ihm lässt man traditionell die griechische Geschichtsschreibung beginnen, vgl. Liste der griechischsprachigen Geschichtsschreiber der Antike), in seinen Historien geschildert hat, wenngleich nicht immer zuverlässig.
",False
3488,"Als die Perser zu einer Strafexpedition in Griechenland einfielen, wurden sie 490 v. Chr. von den Athenern in der Schlacht bei Marathon besiegt.
","Als die Perser zu einer Strafexpedition in Griechenland einfielen, wurden sie 490 v. Chr. von den Athenern in der Schlacht bei Marathon besiegt.
","Als die Perser zu einer Strafexpedition in Griechenland einfielen, wurden sie 490 v. Chr. von den Athenern in der Schlacht bei Marathon besiegt.
",False
3489,"Zehn Jahre später unterlag der persische Großkönig Xerxes I. der athenischen Flotte unter Themistokles in der Schlacht von Salamis und 479 v. Chr. den vereinigten Heeren der griechischen Poleis in der Schlacht von Plataiai.
","Zehn Jahre später unterlag der persische Großkönig Xerxes I. der athenischen Flotte unter Themistokles in der Schlacht von Salamis und 479 v. Chr. den vereinigten Heeren der griechischen Poleis in der Schlacht von Plataiai.
","Zehn Jahre später unterlag der persische Großkönig Xerxes I. der athenischen Flotte unter Themistokles in der Schlacht von Salamis und 479 v. Chr. den vereinigten Heeren der griechischen Poleis in der Schlacht von Plataiai.
",False
3490,"Die Perser waren vorerst zurückgedrängt, die griechischen Stadtstaaten in Kleinasien aus der Abhängigkeit befreit.
","Die Perser waren vorerst zurückgedrängt, die griechischen Stadtstaaten in Kleinasien aus der Abhängigkeit befreit.
","Die Perser waren vorerst zurückgedrängt, die griechischen Stadtstaaten in Kleinasien aus der Abhängigkeit befreit.
",False
3491,"Nach der erfolgreichen Verteidigung und mit der Gründung des Attischen Seebunds 477 v. Chr. unter der auf die eigene Seemacht gestützte Vorherrschaft Athens setzte eine etwa 50-jährige Blütezeit der Stadt (die Pentekontaetie) ein, die bis zum Ausbruch des Peloponnesischen Krieges 431 v. Chr. (bzw. bis zum Tod des leitenden Staatsmannes Perikles im Jahr 429 v. Chr.) reichte.
","Nach der erfolgreichen Verteidigung und mit der Gründung des Attischen Seebunds 477 v. Chr. unter der auf die eigene Seemacht gestützte Vorherrschaft Athens setzte eine etwa 50-jährige Blütezeit der Stadt (die Pentekontaetie) ein, die bis zum Ausbruch des Peloponnesischen Krieges 431 v. Chr. (bzw. bis zum Tod des leitenden Staatsmannes Perikles im Jahr 429 v. Chr.) reichte.
","Nach der erfolgreichen Verteidigung und mit der Gründung des Attischen Seebunds 477 v. Chr. unter der auf die eigene Seemacht gestützte Vorherrschaft Athens setzte eine etwa 50-jährige Blütezeit der Stadt (die Pentekontaetie) ein, die bis zum Ausbruch des Peloponnesischen Krieges 431 v. Chr. (bzw. bis zum Tod des leitenden Staatsmannes Perikles im Jahr 429 v. Chr.) reichte.
",False
3492,"Die Akropolis mit dem Parthenontempel wurde damals unter der Regie des Phidias zum glanzvoll-repräsentativen Zentrum der Seemacht Athen ausgebaut.
","Die Akropolis mit dem Parthenontempel wurde damals unter der Regie des Phidias zum glanzvoll-repräsentativen Zentrum der Seemacht Athen ausgebaut.
","Die Akropolis mit dem Parthenontempel wurde damals unter der Regie des Phidias zum glanzvoll-repräsentativen Zentrum der Seemacht Athen ausgebaut.
",False
