index,gendered,inclusive_form
1593,Das StudentInwohnheim bietet günstige Unterkünfte.,"Das Wohnheim für Studierende, das verschiedene Unterkünfte zu günstigen Preisen anbietet, richtet sich an alle Personen, die in einer höheren Bildungseinrichtung eingeschrieben sind oder dort studieren, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren."
1594,Die Supervisor/innen trafen sich zu einer Besprechung.,"Die Personen, die die Rolle der Supervisorinnen und Supervisoren übernehmen, sowie alle anderen Menschen, die diese Position innehaben und sich mit verschiedenen Geschlechtsidentitäten identifizieren, trafen sich zu einer Besprechung, um wichtige Themen zu besprechen und gemeinsam Entscheidungen zu treffen."
1595,Die Supporter/innen feuerten das Team lautstark an.,"Die Personen, die das Team unterstützen, unabhängig davon, ob sie sich als Unterstützer, Unterstützerinnen oder mit einer anderen Geschlechtsidentität identifizieren, feuerten das Team lautstark an."
1596,Dier Sachverständige überprüfte den Schaden am Auto.,"Die Fachkraft, die über das nötige Wissen und die Erfahrung verfügt, um die Schäden am Auto zu bewerten, und unabhängig davon agiert, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, hat den Schaden am Fahrzeug überprüft."
1597,Dier Sänger_in trat auf der Bühne vor einem großen Publikum auf.,"Die Person, die als Sängerin oder Sänger auftritt, sowie alle weiteren Personen, die sich in der Rolle eines Sängers oder einer Sängerin sehen oder sich mit anderen Geschlechtsidentitäten identifizieren, trat auf der Bühne vor einem großen Publikum auf, das aus Menschen verschiedenster Geschlechtsidentitäten und Hintergründe besteht."
1598,... An der Oper arbeiten 30 hauptberufliche Sänger*innen.,"An der Oper sind insgesamt 30 hauptberufliche Sängerinnen, Sänger und alle weiteren Personen, die in der Profession des Singens tätig sind, unabhängig davon, wie sie sich hinsichtlich ihres Geschlechts oder ihrer Geschlechtsidentität definieren. Diese Vielfalt an Geschlechtsidentitäten umfasst unter anderem Menschen, die sich als nicht-binär, genderqueer, agender oder in anderer Weise identifizieren. Alle diese talentierten Künstlerinnen und Künstler tragen zur vielfältigen musikalischen Darbietung und zur Kultur an der Oper bei."
1599,Dier Schatzmeister/in verwaltete die Finanzen des Vereins.,"Die Person, die die Rolle des Schatzmeisters oder der Schatzmeisterin innerhalb des Vereins übernimmt, egal ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, verwaltet die Finanzen des Vereins."
1600,Die Schlichter/in vermittelte im Streit.,"Die Person, die als Schlichter*in fungiert und in der Lage ist, Konflikte zu vermitteln, spielt eine entscheidende Rolle bei der Lösung von Streitigkeiten, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert."
1601,Dier Schmied_in formte das heiße Eisen zu einem Hufeisen.,"Die Person, die als Schmied:in arbeitet und das Handwerk des Schmiedens beherrscht, formte das heiße Eisen mit Geschick und Erfahrung zu einem Hufeisen, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität identifiziert, sei es als Mann, Frau, nicht-binär oder in einer anderen Form der Geschlechtsidentität."
1602,Die Schriftsteller*innen veröffentlichten ihren ersten Roman.,"Die Schriftstellerinnen, Schriftsteller und alle anderen Personen, die Texte verfassen und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, haben ihren ersten Roman veröffentlicht."
1603,Dier Schuhmacher/in reparierte die kaputten Stiefel.,"„Die Person, die als Schuhmacher oder Schuhmacherin arbeitet oder sich in diesem Berufsfeld engagiert, hat die kaputten Stiefel repariert. Dies schließt alle Geschlechtsidentitäten ein, unabhängig davon, ob die Person sich als Mann, Frau oder einer anderen Geschlechtsidentität versteht, sowie alle, die in der Schuhmacherei tätig sind.“"
1604,Dier Schulabbrecher/in suchte nach einer neuen Ausbildungsmöglichkeit.,"Die Person, die die Schule abgebrochen hat und nun auf der Suche nach einer neuen Ausbildungsmöglichkeit ist, könnte sich als Mann, Frau oder einer anderen Geschlechtsidentität verstehen. Diese Person möchte möglicherweise verschiedene Wege der beruflichen Weiterbildung erkunden und ist offen für vielfältige Optionen, die ihren Interessen und Zielen entsprechen, unabhängig von traditionellen Geschlechterkategorien."
1605,Dier Schuldige gestand deren Tat vor Gericht.,"'Die Person, die für die Tat verantwortlich ist, hat vor Gericht das Geständnis abgelegt, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität versteht, und egal, ob sie sich als Frau, Mann oder einer anderen Geschlechtsidentität identifiziert.'"
1606,Die in Schuld stehende Person konnte ihre Rechnungen nicht mehr bezahlen.,"Die Person, die mit einem Schuldenproblem konfrontiert ist, unabhängig davon, ob sie sich als Frau, Mann oder mit einer nicht-binären, genderqueeren oder anderen Geschlechtsidentität identifiziert, war nicht in der Lage, ihre Rechnungen zu begleichen."
1607,"Der Schülerinaustausch ermöglichte dem, ein Jahr in Frankreich zu verbringen.","Der Schüleraustausch ermöglichte jungen Menschen, die sich als Schüler, Schülerinnen oder mit einer anderen Geschlechtsidentität verstehen, ein Jahr in Frankreich zu verbringen, unabhängig davon, ob sie sich als männlich, weiblich oder nicht-binär identifizieren. Dies gilt für alle Personen, die sich im schulischen Kontext engagieren und die Vielfalt von Geschlechtsidentitäten schätzen und respektieren."
1608,Der Schulausweis dient als Nachweis für die Ermäßigung.,"Der Schulausweis, den jede Person, die eine Bildungseinrichtung besucht, unabhängig von ihrer Geschlechtsidentität und ihrer individuellen Erfahrungen, erhält, dient als Nachweis für die Ermäßigung. Dies betrifft sowohl Schülerinnen und Schüler, die sich als Mädchen oder Jungen identifizieren, als auch alle anderen, die möglicherweise nicht den traditionellen Geschlechterkategorialen entsprechen oder eine nicht-binäre Identität haben."
1609,Dier SchülerInvertreterIn setzte sich für die Belange der Klasse ein.,"Die Person, die als Schülervertreterin oder Schülervertreter tätig ist und sich für die Belange und Anliegen der Klasse einsetzt, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, engagiert sich aktiv und verantwortungsbewusst für die Gemeinschaft ihrer Mitschüler*innen."
1610,Die SchülerInzeitung berichtete über aktuelle Ereignisse an der Schule.,"Die Schülerzeitung, die von den Lernenden der Schule herausgegeben wird, berichtete über aktuelle Ereignisse an der Schule. Diese Lernenden umfassen sowohl Schülerinnen und Schüler als auch Personen, die sich nicht in die traditionellen Geschlechterrollen einordnen oder sich mit einer anderen Geschlechtsidentität identifizieren."
1611,Dier Schulsozialarbeiter/in half Schüler/innen bei persönlichen Problemen.,"Die Person, die als Schulsozialarbeiterin oder Schulsozialarbeiter tätig ist und sich vielleicht auch nicht in diese traditionellen Geschlechterrollen einordnen lässt, hat Schüler, Schülerinnen sowie alle weiteren Personen, die die Schule besuchen und sich mit verschiedenen Geschlechtsidentitäten identifizieren, bei ihren persönlichen Problemen unterstützend zur Seite gestanden."
1612,Dier SchulungsleiterIn erklärte die Sicherheitsvorschriften.,"Die Person, die die Schulung leitet und in dieser Funktion die Verantwortung für die Vermittlung der Sicherheitsvorschriften trägt, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, erklärte ausführlich die Sicherheitsvorschriften, um allen Beteiligten ein sicheres Verständnis der erforderlichen Maßnahmen zu gewährleisten."
1613,Dier Schuster:in reparierte die alten Schuhe.,"'Die Person, die als Schuhmacherin oder Schuhmacher arbeitet oder sich als solche identifiziert, hat die alten Schuhe repariert, unabhängig davon, ob sie sich als Frau, Mann, nicht-binär oder mit einer anderen Geschlechtsidentität identifiziert. Diese Person bringt handwerkliches Geschick und Erfahrung in der Schuhreparatur ein, um die in die Jahre gekommenen Schuhe wieder funktionsfähig und ansprechend zu machen.'"
1614,Dier Schütz*in traf das Ziel mit hoher Präzision.,"Die Person, die als Schutzperson oder Schütz*in tätig ist, hat das Ziel mit hoher Präzision getroffen. Diese Person könnte sich als Frau, Mann oder als nicht-binär, genderfluid oder mit einer anderen Geschlechtsidentität identifizieren und zeigt durch ihre Fähigkeiten und Fertigkeiten im Bereich des Schutzes, wie wichtig Präzision in ihrer Tätigkeit ist."
1615,Der Film zeigte die Geschichte einer schwangeren Person.,"Der Film präsentierte die Geschichte einer Person, die schwanger ist, und berücksichtigte dabei die Vielfalt der Geschlechtsidentitäten, indem er nicht nur schwangere Frauen in den Fokus stellte, sondern auch Menschen, die sich als trans, nicht-binär oder genderqueer identifizieren und dennoch das Erlebnis der Schwangerschaft machen können."
1616,Dier Schwimmlehrer:in brachte den Kindern das Tauchen bei.,"Die Person, die als Schwimmlehrer oder Schwimmlehrerin arbeitet und somit die Verantwortung für das Unterrichten und das Fördern von Schwimmfähigkeiten bei Kindern trägt, brachte den jungen Schwimmerinnen, Schwimmern und allen anderen Kinder, die an diesem Schwimmunterricht teilnehmen und sich möglicherweise mit einer Vielzahl von Geschlechtsidentitäten identifizieren, das Tauchen bei."
1617,Die Seefahrer*innen entdeckten neue Länder.,"Die Seefahrerinnen, Seefahrer und alle weiteren Personen, die auf See reisen und sich in unterschiedlichen Geschlechtsidentitäten definieren, entdeckten neue Länder."
1618,Dier Seelsorger_in unterstützte die Menschen in schwierigen Zeiten.,"Die Person, die in der Seelsorge tätig ist und Unterstützung sowie Trost für die Menschen bietet, ganz gleich, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, hat die Menschen in schwierigen Zeiten begleitet und unterstützt."
1619,Die seefahrende Person liebte das Leben auf See.,"Die Person, die sich dem Seefahren widmet, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, liebte das Leben auf See und die vielfältigen Erfahrungen, die es mit sich bringt, sowie die besondere Verbundenheit zur Natur und den Herausforderungen, die das Leben auf dem Wasser mit sich bringt."
1620,Dier Segler*in setzte die Segel und stach in See.,"'Die Person, die segelt, hat die Segel gesetzt und ist in See gestochen, unabhängig von ihrer Geschlechtsidentität, sei es als Frau, Mann oder einer anderen Form der Identifikation, die sie für sich wählt. Diese Person könnte sich als Seglerin, Segler oder auf andere Weise, die ihre Individualität und Geschlechtsidentität widerspiegelt, identifizieren.'"
1621,Dier Selbstdarsteller*in suchte immer nach Aufmerksamkeit.,"'Die Person, die sich in der Weise präsentiert und lernt, im Mittelpunkt der Aufmerksamkeit zu stehen, unabhängig davon, ob sie sich als Selbstdarstellerin, Selbstdarsteller oder mit einer anderen Geschlechtsidentität identifiziert, sucht stets nach Aufmerksamkeit, um ihre Gedanken, Ideen oder Talente einem breiten Publikum zu präsentieren.'"
1622,Dier SeminarleiterIn führte durch das Programm des Workshops.,"Die Person, die als Seminarleitung für den Workshop verantwortlich ist und somit durch das Programm des Workshops führt, kann sich als Mann, Frau oder mit einer anderen Geschlechtsidentität definieren. Sie sorgt dafür, dass alle Teilnehmenden bestmöglich informiert und eingeladen werden, aktiv am Workshop teilzunehmen."
1623,Die Sendenden der Karte haben ihre Unterschriften vergessen.,"Die Personen, die die Karte versendet haben, haben es versäumt, ihre Unterschriften zu leisten. Dazu zählen alle Menschen, die an diesem Prozess beteiligt waren, unabhängig davon, ob sie sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren."
1624,Dier Servicemitarbeiter_in half mir bei meinem Problem.,"'Die Person, die im Servicebereich tätig ist und mir bei meinem Problem geholfen hat, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, war äußerst hilfsbereit und kompetent.'"
1625,Unser*e Servicepartner*in übernimmt die Wartung der Geräte.,"'Unsere Servicepartnerin, unser Servicepartner und alle anderen Personen oder Organisationen, die für die Wartung der Geräte verantwortlich sind und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren oder in besonderen Rollen tätig sind, übernehmen die Wartung der Geräte.'"
1626,Dier Sieger_in des Rennens erhielt eine Trophäe.,"Die Person, die das Rennen als Erste abgeschlossen hat und sich möglicherweise als Siegerin, Sieger oder mit einer anderen Geschlechtsidentität identifiziert, erhielt eine Trophäe als Anerkennung für ihre herausragende Leistung."
1627,Bei der SiegerInehrung wurden die besten AthletInnen ausgezeichnet.,"Bei der Siegerehrung wurden die besten Athletinnen, Athleten und alle weiteren Personen, die in sportlichen Wettbewerben hervorstechen und sich mit verschiedenen Geschlechtsidentitäten identifizieren, ausgezeichnet. Diese Ehrung umfasst somit nicht nur jene, die sich traditionell als Frau oder Mann definieren, sondern schließt auch diejenigen mit ein, deren Geschlechtsidentität außerhalb dieser Kategorien liegt und die eine herausragende Leistung im Sport gezeigt haben."
1628,Mein_e Sitznachbar_in im Flugzeug war sehr gesprächig.,"Die Person, die neben mir im Flugzeug sitzt, unabhängig davon, ob diese Person sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, war sehr gesprächig."
1629,... Diskutiere mit deiner Sitznachbar_in.,"„Diskutiere mit der Person, die neben dir sitzt, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert. Diese Diskussion soll alle Geschlechtsidentitäten und -ausdrücke respektieren und einbeziehen.“"
1630,Dier Skeptiker:in zweifelte an den wissenschaftlichen Ergebnissen.,"Die Person, die eine skeptische Haltung einnimmt und Zweifel an den wissenschaftlichen Ergebnissen hat, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, zeigte Bedenken gegenüber den präsentierten Daten und deren Interpretation."
1631,Dier SozialarbeiterIn unterstützt Familien in schwierigen Situationen.,"'Die Person, die im Bereich der sozialen Arbeit tätig ist und als Sozialarbeiter, Sozialarbeiterin oder mit einer anderen Geschlechtsidentität fungiert, unterstützt Familien, die sich in schwierigen Situationen befinden, unabhängig davon, wie sich die einzelnen Beteiligten in Bezug auf Geschlecht und Geschlechtsidentität verstehen.'"
1632,Dier Sozialist*in setzt sich für soziale Gerechtigkeit ein.,"Die Person, die sich als Sozialist oder Sozialistin identifiziert oder eine sozialistische Perspektive vertritt, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, setzt sich leidenschaftlich für soziale Gerechtigkeit ein und engagiert sich aktiv für die Gleichheit und Fairness in der Gesellschaft."
1633,Die sozialpädagogische Fachkraft arbeitet mit benachteiligten Jugendlichen.,"Die Person, die in dem Berufsfeld der sozialpädagogischen Fachkräfte tätig ist und sich um das Wohlergehen sowie die Entwicklung von benachteiligten Jugendlichen kümmert, arbeitet mit jungen Menschen, die in ihrer sozialen, wirtschaftlichen, emotionalen oder bildungsmäßigen Situation Herausforderungen gegenüberstehen. Diese Fachkraft kann dabei sowohl als Frau, Mann oder mit einer anderen Geschlechtsidentität auftreten und setzt sich mit Empathie und Fachwissen dafür ein, dass die Jugendlichen Unterstützung erhalten, die ihren individuellen Bedürfnissen und Lebensrealitäten gerecht wird."
1634,Die spazierende Person genoss das schöne Wetter im Park.,"'Die Person, die im Park spaziert, genießt das schöne Wetter, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definiert oder identifiziert. Dies schließt Menschen ein, die sich als männlich, weiblich, non-binär, genderfluid oder anderen Geschlechtsidentitäten zugehörig fühlen und deren individuelle Ausdrucksformen berücksichtigt werden.'"
1635,Die für den Warentransport beauftragte Person organisierte den Transport der Waren.,"Die Person, die mit der Organisation des Warentransports betraut ist, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, hat den Transport der Waren koordiniert und sichergestellt, dass alle logistischen Aspekte reibungslos ablaufen. Diese Person kann jede mögliche Geschlechtsidentität haben und trägt dazu bei, dass der Transport der Waren effizient und ordnungsgemäß durchgeführt wird."
1636,Die spendende Person spendete regelmäßig Blut.,"Die Person, die regelmäßig Blut spendet, handelt unabhängig von ihrer Geschlechtsidentität, sei es männlich, weiblich oder eine Vielzahl anderer Identitäten, die nicht unbedingt in die traditionellen Kategorien fallen. Diese engagierte Person trägt damit aktiv zu wichtigen gesundheitlichen Maßnahmen bei und zeigt ein hohes Maß an Verantwortung und Solidarität mit der Gemeinschaft."
1637,Dier Spezialist*in wurde bei komplexen Problemen hinzugezogen.,"Die Person, die über spezielle Fachkenntnisse verfügt und für die Lösung komplexer Probleme zuständig ist, wurde hinzugezogen. Diese Person kann sich als Spezialist, Spezialistin oder mit einer anderen Geschlechtsidentität identifizieren, und ihre Expertise ist in dieser Situation von großer Bedeutung. Es ist wichtig zu betonen, dass Fähigkeiten und Kenntnisse unabhängig von geschlechtlichen Zuschreibungen sind und dass alle Menschen, die sich in einem bestimmten Bereich qualifizieren, wertvolle Beiträge leisten können."
1638,Niemand wollte die spielverderbende Person in der Gruppe haben.,"'In der Gruppe gab es niemanden, der oder die als spielverderbend wahrgenommen wurde oder sich so fühlte, und so wurde niemand ausgeschlossen; alle in der Gruppe, egal welchen Geschlechts oder welcher Geschlechtsidentität sie angehörten, sollten ein angenehmes und harmonisches Zusammensein erleben, ohne dass jemand das Gefühl hatte, die Dynamik der Gruppe negativ zu beeinflussen.'"
1639,Dier SprecherIn des Films hatte eine markante Stimme. ,"Die Person, die als Sprecher oder Sprecherin des Films fungierte und möglicherweise verschiedene Geschlechtsidentitäten repräsentiert, darunter Frauen, Männer und nicht-binäre sowie genderflüssige Personen, hatte eine markante Stimme, die zur Charakterisierung des Films wesentlich beitrug."
1640,Die SponsorInnen unterstützten das Sportereignis finanziell.,"Die Personen, die als Sponsoren und Sponsorinnen agieren und unabhängig von ihrer Geschlechtsidentität, sei es weiblich, männlich oder nicht-binär, das Sportereignis finanziell unterstützen, haben einen bedeutenden Beitrag geleistet, um das Event zu ermöglichen und dessen Erfolg zu fördern."
1641,"Liebe Sportfreund_innen, schön, dass Ihr heute zur Vollversammlung unseres Vereins gekommen seid!","Liebe Sportfreundinnen und Sportfreunde sowie alle weiteren Personen, die sich für unseren Verein und die sportlichen Aktivitäten interessieren oder mit diesem verbunden sind, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität definieren, es ist schön, dass ihr heute zur Vollversammlung unseres Vereins gekommen seid!"
1642,Die Sportler:innen trainieren täglich für die Olympischen Spiele.,"Die Sportlerinnen, Sportler und alle weiteren Personen, die im Bereich des Sports aktiv sind und sich auf unterschiedliche Weise mit verschiedenen Geschlechtsidentitäten identifizieren, trainieren täglich mit dem Ziel, sich optimal auf die Olympischen Spiele vorzubereiten."
1643,Dier Stadtführer/in zeigte die Sehenswürdigkeiten.,"Die Person, die als Stadtführer oder Stadtführerin tätig ist und die Verantwortung hat, die Sehenswürdigkeiten vorzustellen, zeigt diese beeindruckenden Orte sowohl denjenigen, die sich als Männer oder Frauen identifizieren, als auch all jenen, die sich außerhalb dieser traditionellen Geschlechtskategorien bewegen oder sich auf andere Weise mit einer individuellen Geschlechtsidentität identifizieren."
1644,Die stadtplanende Person entwarf das neue Wohngebiet.,"Die Person, die in der Stadtplanung tätig ist und für die Gestaltung und Entwicklung des neuen Wohngebiets verantwortlich war, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, entwarf das neue Wohngebiet und berücksichtigte dabei die Bedürfnisse und Wünsche aller zukünftigen Bewohner*innen und deren vielfältigen Lebensrealitäten."
1645,Die Stakeholder wurden zu einer Besprechung eingeladen.,"Die Personen, die als Stakeholder in diesem Kontext agieren, unabhängig davon, ob sie sich als Männer, Frauen oder mit einer anderen Geschlechtsidentität identifizieren, wurden zu einer Besprechung eingeladen, um ihre unterschiedlichen Perspektiven und Ansichten in die Diskussion einzubringen und zur Entscheidungsfindung beizutragen."
1646,Die Stammkund/innen bekommen einen Rabatt auf ihre Einkäufe.,"Die Stammkundinnen, Stammkunden und alle weiteren Personen, die regelmäßig bei uns einkaufen und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, erhalten einen Rabatt auf ihre Einkäufe, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität verstehen."
1647,Der Star des Abends war ein/e bekannte:r Sänger/in.,"Der Star des Abends war eine Person, die als Sängerin oder Sänger bekannt ist, sowie alle anderen individuellen Künstlerinnen und Künstler, die sich möglicherweise mit anderen Geschlechtsidentitäten identifizieren, wie etwa nicht-binären, genderfluiden oder agender Personen, die in der Musikszene aktiv sind und für ihre musikalischen Talente geschätzt werden."
1648,Dier Stelleninhaber_in ist für die Verwaltung zuständig.,"Die Person, die die Stelle in der Verwaltung innehat, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, ist für die Verwaltung zuständig und verantwortet die entsprechenden Aufgaben und Tätigkeiten."
1649,Dier SteuerberaterIn half bei der Steuererklärung.,"Die Person, die als Steuerberaterin oder Steuerberater tätig ist, sowie alle weiteren Fachleute, die in diesem Bereich arbeiten und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, halfen dabei, die Steuererklärung zu erstellen. Diese Unterstützung beinhaltete sowohl fachliche Beratung als auch individuelle Hilfestellung, um den Prozess für die Klient*innen, die möglicherweise ebenfalls verschiedenen Geschlechtsidentitäten angehören, zu erleichtern und zu optimieren."
1650,Dey kümmerte sich stiefelterlich um die Kinder.,"'Die Person, die in einer verantwortungsvollen Rolle für die Betreuung und Erziehung der Kinder sorgt, agiert auf eine unterstützende und fürsorgliche Weise, unabhängig von ihrer Geschlechtsidentität oder ihrer Beziehung zu den Kindern, sei es als biologischer Elternteil, Adoptivelternteil, Pflegeelternteil oder in einer anderen Bezugspersonenrolle.'"
1651,Dier Strateg*in entwickelte einen Plan für den Wettbewerb.,"Die Person, die die Rolle der Strategin oder des Strategen innehat, sowie alle weiteren Personen, die in dieser Funktion tätig sind oder sich einer anderen Geschlechtsidentität zugehörig fühlen, entwickelte einen Plan für den Wettbewerb. Diese Person könnte sich als Frau, Mann, nicht-binär oder mit einer anderen Geschlechtsidentität identifizieren und hat ihre Expertise genutzt, um einen durchdachten und effektiven Plan zu erstellen, der auf die Anforderungen des Wettbewerbs zugeschnitten ist."
1652,Dier Stromanbieter_in erhöhte die Preise.,"'Der Stromanbieter, die Stromanbieterin und alle weiteren Personen oder Organisationen, die Dienstleistungen im Bereich der Stromversorgung anbieten und sich dabei möglicherweise nicht ausschließlich binären Geschlechtskategorien zuordnen, haben die Preise erhöht.'"
1653,"Dey nahm einen StudentInjob an, um deren Studium zu finanzieren.","Dey nahm einen Job als Studierende, Studierender oder in einer anderen geschlechtsunabhängigen Rolle an, um das Studium zu finanzieren. Dabei kann Dey sich möglicherweise als Frau, Mann oder einer weiteren Geschlechtsidentität identifizieren, sodass dieser Arbeitsplatz allen Personen offensteht, die in einer höheren Bildungseinrichtung eingeschrieben sind und nach Möglichkeiten suchen, ihre Ausbildung durch berufliche Tätigkeiten zu unterstützen."
1654,Die Studienanfänger*innen wurden in der Einführungswoche begrüßt.,"Die neu eingeschriebenen Studierenden, unabhängig davon, ob sie sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren, wurden während der Einführungswoche herzlich willkommen geheißen. Diese Begrüßung richtete sich an alle, die an einer Hochschule oder Universität mit dem Ziel des Studierens beginnen, und sollte Raum für die Vielfalt an Identitäten und Erfahrungen schaffen, die unsere Lern- und Gemeinschaftslandschaft bereichern."
1655,Die SupervisorIn überwachte die Arbeitsprozesse.,"Die Person, die die Funktion eines Supervisors oder einer Supervisorin innehat und die Verantwortung für die Überwachung der Arbeitsprozesse trägt, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, kümmerte sich um die Überwachung der Arbeitsabläufe und stellte sicher, dass alle Tätigkeiten effektiv und ordnungsgemäß ausgeführt wurden."
1656,Die sympathisierende Person unterstützte die politische Bewegung.,"'Die Person, die Sympathie für die politische Bewegung empfindet und sich möglicherweise als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, leistet Unterstützung für diese Initiative, um positive Veränderungen in der Gesellschaft herbeizuführen und die Anliegen der Bewegung zu fördern.'"
1657,Dier Systemadministrator_in löste die technischen Probleme im Netzwerk.,"Die Person, die die Rolle des Systemadministrators oder der Systemadministratorin innehat, sowie alle weiteren Personen, die in ähnlichen Positionen tätig sind und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, hat erfolgreich die technischen Probleme im Netzwerk gelöst."
1658,"Die Sachbearbeiter/innummer wurde in das System eingegeben, um den Fall zuzuordnen.","Die Person, die für die Bearbeitung des Falls zuständig ist, egal ob sie sich als Sachbearbeiter, Sachbearbeiterin oder mit einer anderen Geschlechtsidentität identifiziert, hat ihre individuelle Sachbearbeiternummer in das System eingegeben, um den Fall korrekt zuzuordnen."
1659,Dier Sadist_in erfreute sich am Leiden anderer.,"Die Person, die sadistische Tendenzen aufweist und Freude daran hat, andere Menschen leiden zu sehen, gleichgültig, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, erlebte eine Befriedigung, die aus dem Schmerz und dem Unwohlsein anderer resultierte."
1660,"Dier Salafist_in predigte einen radikalen Islam, der die Werte der moderneren Gesellschaft ablehnt.","Die Person, die sich als Salafist oder Salafistin identifiziert und in dieser Rolle predigt, vermittelt eine radikale Auffassung des Islam, die die Werte und Prinzipien der modernen Gesellschaft, unabhängig von Geschlechtsidentität oder individueller Selbstdefinition, ablehnt. Es ist wichtig zu betonen, dass die Ansichten dieser Person möglicherweise nicht die Vielfalt und Breite der Interpretationen des Islam widerspiegeln, die von Menschen mit unterschiedlichen Geschlechtsidentitäten und Perspektiven geäußert werden."
1661,Die sammelnde Person hortete alte Münzen und antike Briefmarken.,"Die Person, die alte Münzen und antike Briefmarken sammelt, tut dies unabhängig von ihrer Geschlechtsidentität und -zuordnung. Diese Person könnte sich als Mann, Frau, nicht-binär, genderfluid oder mit einer anderen Geschlechtsidentität identifizieren und hat eine Leidenschaft für die historische Wertschätzung und das Sammeln von numismatischen Objekten sowie philatelistischen Materialien."
1662,Jörg übernahm die Rolle dies Schirmherr/in für das Wohltätigkeitskonzert.,"'Die Person, die als Schirmherr oder Schirmherrin für das Wohltätigkeitskonzert tätig wurde, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, hat diese verantwortungsvolle Rolle übernommen, um das Konzert zu unterstützen und dessen Ziele zu fördern.'"
1663,Die Schirmherr/inschaft des Projekts durch eine bekannte Persönlichkeit brachte viel Aufmerksamkeit und Unterstützung.,"Die Person oder das kollektive Gremium, das die Schirmherrschaft für das Projekt übernommen hat, in diesem Fall eine bekannte Persönlichkeit, hat dazu beigetragen, erheblich Aufmerksamkeit und Unterstützung zu generieren. Dies schließt alle Geschlechteridentitäten ein, von Männern und Frauen bis hin zu nicht-binären und genderfluiden Menschen, sowie allen weiteren individuellen Identifikationen, die sich über die traditionellen Kategorien hinwegsetzen."
1664,"Dier Schläger:intyp:in in der Bar war bekannt dafür, Konflikte gewaltsam zu lösen.","Die Person, die in der Bar als Schläger:in wahrgenommen wird und als solche bekannt ist, dafür, Konflikte gewaltsam zu lösen, unabhängig von ihrem Geschlecht, ihrer Geschlechtsidentität oder den damit verbundenen Ausdrücken, war dafür bekannt, dass sie Auseinandersetzungen nicht auf eine gewaltfreie Weise, sondern durch physische Konfrontationen zu klären sucht. Diese Wahrnehmung bezieht sich auf eine Vielzahl von möglichen Geschlechtsidentitäten, sei es, dass diese Person sich als Mann, Frau oder nicht-binär identifiziert oder sich anderweitig außerhalb der traditionellen Geschlechterkategorien positioniert."
1665,Die Schlagperson erzielte im Cricket-Match einige wichtige Runs für das Team.,"Die Person, die als Schlagkraft im Cricket-Match fungierte, konnte einige wichtige Runs für das Team erzielen, unabhängig von ihrer Geschlechtsidentität oder Geschlechtszugehörigkeit, sei es als Mann, Frau oder sonstigen Identitäten, die möglicherweise nicht in die traditionellen Kategorien passen."
