gendered,male,female,enhanced,index
"Dier TüftlerIn verbrachte Stunden in deren Werkstatt, um das neue Gerät zu perfektionieren.","Der Tüftler verbrachte Stunden in seiner Werkstatt, um das neue Gerät zu perfektionieren.","Die Tüftlerin verbrachte Stunden in ihrer Werkstatt, um das neue Gerät zu perfektionieren.","Die Tüftlerin, der Tüftler und Personen mit anderen geschlechtlichen Identitäten verbrachten Stunden in ihrer Werkstatt, um das neue Gerät zu perfektionieren, wobei sie viel kreative Energie und Engagement in ihre Arbeit investierten.",1795
"... Andreas und Elsa sind Tutor*innen für die Übungen zur Vorlesung ""Mathematik für Biologen"".","... Andreas und Elsa sind Tutoren für die Übungen zur Vorlesung ""Mathematik für Biologen"".","... Andreas und Elsa sind Tutorinnen für die Übungen zur Vorlesung ""Mathematik für Biologen"".","Andreas, Elsa und weitere Personen, die als Tutorinnen, Tutoren oder in anderen geschlechtlichen Identitäten wahrgenommen werden, leiten die Übungen zur Vorlesung ""Mathematik für Biologinnen, Biologen und Menschen mit anderen geschlechtlichen Identitäten"", wobei sie eine unterstützende und fördernde Lernumgebung für alle Studierenden schaffen.",1796
"Die Tagesbetreuung kümmerten sich liebevoll um die Kinder, während ihre Eltern bei der Arbeit waren.","Der Tagesväter kümmerten sich liebevoll um die Kinder, während ihre Eltern bei der Arbeit waren.","Die Tagesmütter kümmerten sich liebevoll um die Kinder, während ihre Eltern bei der Arbeit waren.","Die Tagesbetreuungseinrichtungen kümmerten sich liebevoll um die Kinder, während deren Eltern, Erziehungsberechtigte und/oder andere Bezugspersonen bei der Arbeit waren, unabhängig von deren Geschlechtsidentität oder familiären Rollenverhältnissen.",1797
Die Moderation führte die Unterhaltung durch die Talkshow.,Der Talkmaster führte die Unterhaltung durch die Talkshow.,Die Talkmasterin führte die Unterhaltung durch die Talkshow.,"Die Personen, die für die Moderation der Talkshow verantwortlich sind, hatten die Aufgabe, die Unterhaltung zu leiten und durch die verschiedenen Themen und Gespräche zu führen, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität.",1798
"Die Polizei befragte dien Tatbeteiligte*n, um herauszufinden, was genau bei dem Vorfall passiert war.","Die Polizei befragte den Tatbeteiligten, um herauszufinden, was genau bei dem Vorfall passiert war.","Die Polizei befragte die Tatbeteiligte, um herauszufinden, was genau bei dem Vorfall passiert war.","Die Polizei befragte die tatbeteiligten Personen, um herauszufinden, was genau bei dem Vorfall passiert war. Diese Personen können Frauen, Männer oder Individuen mit anderen geschlechtlichen Identitäten sein, die in irgendeiner Weise an dem Vorfall beteiligt waren.",1799
"Die Tatbeteiligten wurden zur Vernehmung ins Revier gebracht, um ihre Rollen im Vorfall zu klären.","Die Tatbeteiligten wurden zur Vernehmung ins Revier gebracht, um ihre Rollen im Vorfall zu klären.","Die Tatbeteiligten wurden zur Vernehmung ins Revier gebracht, um ihre Rollen im Vorfall zu klären.","Die Personen, die an der Tat beteiligt waren, wurden zur Einsichtnahme und Klärung ihrer jeweiligen Rollen im Vorfall ins Polizeirevier gebracht. Dazu zählen sowohl Männer als auch Frauen sowie Menschen, die sich als non-binär oder andersgehend identifizieren, um eine vollständige und umfassende Aufklärung der Geschehnisse zu gewährleisten.",1800
"In der Täter_inrolle nahm dier Schauspieler_in die Herausforderung an, eine komplexe Figur zu verkörpern.","In der Täterrolle nahm der Schauspieler die Herausforderung an, eine komplexe Figur zu verkörpern.","In der Täterinrolle nahm die Schauspielerin die Herausforderung an, eine komplexe Figur zu verkörpern.","In der Rolle der Täterin oder des Täters sowie in der Rolle von Personen, die sich mit einer anderen geschlechtlichen Identität identifizieren, nahm die Schauspielerin, der Schauspieler und die Person mit einer anderen geschlechtlichen Identität die Herausforderung an, eine vielschichtige und komplexe Figur zu verkörpern.",1801
Dier Täufling wurde in einer feierlichen Zeremonie in die Gemeinde aufgenommen.,Der Täufling wurde in einer feierlichen Zeremonie in die Gemeinde aufgenommen.,Die Täufling wurde in einer feierlichen Zeremonie in die Gemeinde aufgenommen.,"Der Täufling, unabhängig von seiner geschlechtlichen Identität oder Geschlechtszuschreibung, wurde in einer feierlichen Zeremonie in die Gemeinschaft aufgenommen, die aus Personen aller Geschlechter und Geschlechtsidentitäten besteht, einschließlich Frauen, Männern und nichtbinären sowie genderqueeren Personen, die sich zu dieser Glaubensgemeinschaft zählen.",1802
Dier staatlich anerkannte Techniker/in erhielt die Zulassung.,Der staatlich anerkannte Techniker erhielt die Zulassung.,Die staatlich anerkannte Technikerin erhielt die Zulassung.,"Die staatlich anerkannte Technikerin, der staatlich anerkannte Techniker und alle Personen, die sich als Techniker:innen oder mit einer anderen geschlechtlichen Identität definieren, erhielten die Zulassung.",1803
Dier Technolog*in erforschte neue Entwicklungen in der Computertechnik und präsentierte deren Ergebnisse auf der Konferenz.,Der Technologe erforschte neue Entwicklungen in der Computertechnik und präsentierte seine Ergebnisse auf der Konferenz.,Die Technologin erforschte neue Entwicklungen in der Computertechnik und präsentierte ihre Ergebnisse auf der Konferenz.,"Die Person, die im Bereich der Technologie tätig ist und sich auf die Erforschung neuer Entwicklungen in der Computertechnik spezialisiert hat, hat ihre oder seine Ergebnisse sowie die von Personen mit anderen geschlechtlichen Identitäten, die ebenfalls an diesem Forschungsprojekt beteiligt waren, auf der Konferenz präsentiert.",1804
Dier TelemitarbeiterIn war neu in diesem Berufsfeld.,Der Telemitarbeiter war neu in diesem Berufsfeld.,Die Telemitarbeiterin war neu in diesem Berufsfeld.,"Die Telekommunikationsmitarbeiterin, der Telekommunikationsmitarbeiter und Personen mit anderen geschlechtlichen Identitäten, die in diesem Berufsfeld tätig sind oder eine Anstellung in der Telekommunikationsbranche anstreben, waren neu in diesem Berufsfeld.",1805
Die Telemitarbeiter_innen bearbeiteten Anfragen und sorgten für einen reibungslosen Ablauf des Telefonservices.,Die Telemitarbeiter bearbeiteten Anfragen und sorgten für einen reibungslosen Ablauf des Telefonservices.,Die Telemitarbeiterinnen bearbeiteten Anfragen und sorgten für einen reibungslosen Ablauf des Telefonservices.,"Die Mitarbeiterinnen, Mitarbeiter und Personen mit anderen geschlechtlichen Identitäten, die im Bereich der Telefonkommunikation tätig sind, bearbeiteten Anfragen von Kundinnen, Kunden und weiteren Personen, die sich mit ihren Anliegen an den Telefonservice wandten, und sorgten dabei für einen reibungslosen Ablauf in allen Aspekten des Telefonservices, unabhängig von der jeweiligen Geschlechtsidentität der Anrufenden oder der Teammitglieder.",1806
Der töpfernde Mensch formte mit geschickten Händen wunderschöne Keramiken auf der Drehscheibe.,Der Töpfer formte mit geschickten Händen wunderschöne Keramiken auf der Drehscheibe.,Die Töpferin formte mit geschickten Händen wunderschöne Keramiken auf der Drehscheibe.,"Der Mensch, der das Töpfern praktiziert, formte mit geschickten Händen wunderschöne Keramiken auf der Drehscheibe. Dabei könnte es sich um eine Person handeln, die sich als Frau, Mann oder eine andere geschlechtliche Identität versteht und die kreative Kunst des Töpferns ausübt, unabhängig von deren Geschlechtsidentität.",1807
Dier Torhüter*in rettete mehrere entscheidende Schüsse und sicherte dem Team den Sieg im Spiel.,Der Torhüter rettete mehrere entscheidende Schüsse und sicherte dem Team den Sieg im Spiel.,Die Torhüterin rettete mehrere entscheidende Schüsse und sicherte dem Team den Sieg im Spiel.,"Die Torhüterin, der Torhüter und Personen anderer geschlechtlicher Identität, die im Fußball als Torwart oder Torwartin tätig sind, retteten mehrere entscheidende Schüsse und sicherten damit dem gesamten Team, unabhängig von deren Geschlechtsidentität, den Sieg im Spiel.",1808
Die Reiseleitung führte die Gruppe durch die historische Altstadt und erklärte die Sehenswürdigkeiten.,Der Tourguide führte die Gruppe durch die historische Altstadt und erklärte die Sehenswürdigkeiten.,Die Tourguide führte die Gruppe durch die historische Altstadt und erklärte die Sehenswürdigkeiten.,"Die Reiseleitung, bestehend aus Personen aller Geschlechtsidentitäten, führte die Gruppe, die aus Menschen unterschiedlicher Geschlechter, wie Frauen, Männern und nicht-binären Personen, sowie weiteren Geschlechtsidentitäten besteht, durch die historische Altstadt und erklärte dabei die verschiedenen Sehenswürdigkeiten, sodass alle Teilnehmenden, unabhängig von ihrer geschlechtlichen Identität, die Informationen verstehen und genießen konnten.",1809
Das Trainer:inwesen umfasst die Ausbildung und Weiterbildung von Trainer:innen in verschiedenen Sportarten.,Das Trainerwesen umfasst die Ausbildung und Weiterbildung von Trainern in verschiedenen Sportarten.,Das Trainerinwesen umfasst die Ausbildung und Weiterbildung von Trainerinnen in verschiedenen Sportarten.,"Das Trainerinnen- und Trainerwesen, das sich mit der Ausbildung und Weiterbildung von Trainerinnen, Trainern und Personen anderer geschlechtlicher Identität, die in unterschiedlichen Sportarten tätig sind, beschäftigt, umfasst sämtliche Aspekte, die zur Entwicklung und Förderung der fachlichen Kompetenzen sowie der persönlichen Fähigkeiten dieser Trainer und Trainerinnen beitragen, unabhängig davon, wie sich die jeweiligen Personen in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",1810
Dier Treuhänder*in verwaltete das Vermögen der Verstorbenen und sorgte für eine gerechte Verteilung.,Der Treuhänder verwaltete das Vermögen der Verstorbenen und sorgte für eine gerechte Verteilung.,Die Treuhänderin verwaltete das Vermögen der Verstorbenen und sorgte für eine gerechte Verteilung.,"Die Treuhänderin, der Treuhänder und Personen anderer geschlechtlicher Identitäten, die in der Rolle des Treuhänders tätig sind, verwalteten das Vermögen der verstorbenen Person und sorgten dafür, dass eine gerechte und faire Verteilung an alle berechtigten Erben und Erbinnen sowie andere betroffene Parteien, unabhängig von deren Geschlechtsidentität, erfolgte.",1811
"Dier Trompeter/in spielte ein virtuos klingendes Solo, das das Publikum begeisterte.","Der Trompeter spielte ein virtuos klingendes Solo, das das Publikum begeisterte.","Die Trompeterin spielte ein virtuos klingendes Solo, das das Publikum begeisterte.","Die Trompeterin, der Trompeter und alle Personen, die sich als solche definieren oder die Trompete spielen, präsentierten ein virtuoses Solo, das das Publikum, bestehend aus Menschen unterschiedlicher Geschlechtsidentitäten, von Frauen über Männer bis hin zu nicht-binären Personen und weiteren Identitäten, tief beeindruckte und begeisterte.",1812
Die Turngeschwister halfen bei den sportlichen Übungen und sorgten für eine gute Betreuung.,Die Turngeschwister halfen bei den sportlichen Übungen und sorgten für eine gute Betreuung.,Die Turnschwestern halfen bei den sportlichen Übungen und sorgten für eine gute Betreuung.,"Die Turngeschwister, bestehend aus Menschen verschiedener Geschlechtsidentitäten und Geschlechter, halfen bei den sportlichen Übungen und sorgten für eine umfassende und qualitativ hochwertige Betreuung aller Teilnehmenden, unabhängig von deren Geschlechtsidentität, sei es weiblich, männlich oder nicht-binär.",1813
Die Trauer drohte dem zu überwältigen.,Die Trauer drohte ihn zu übermannen.,Die Trauer drohte sie zu überfrauen.,"Die Trauer drohte die Person, die mit diesem Gefühl konfrontiert ist, zu überwältigen, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität, die in diesem Moment emotional betroffen und in ihrer Trauer gefangen ist.",1814
Dier Übersetzende übertrug das technische Handbuch präzise und verständlich ins Deutsche.,Der Übersetzer übertrug das technische Handbuch präzise und verständlich ins Deutsche.,Die Übersetzerin übertrug das technische Handbuch präzise und verständlich ins Deutsche.,"Die Übersetzerinnen, Übersetzer und Personen mit anderen geschlechtlichen Identitäten, die für die Übertragung von Texten verantwortlich sind, haben das technische Handbuch nicht nur präzise, sondern auch in einer für alle verständlichen Weise ins Deutsche übertragen, um sicherzustellen, dass die Inhalte für ein diverses Publikum zugänglich sind, unabhängig von deren Geschlechtsidentität.",1815
Dier Übungsleiter*in zeigte den Teilnehmer*innen neue Techniken zur Verbesserung ihrer Fitness.,Der Übungsleiter zeigte den Teilnehmern neue Techniken zur Verbesserung ihrer Fitness.,Die Übungsleiterin zeigte den Teilnehmerinnen neue Techniken zur Verbesserung ihrer Fitness.,"Die Übungsleiterin, der Übungsleiter und Personen mit anderen geschlechtlichen Identitäten, die die Rolle eines Übungsleiters oder einer Übungsleiterin einnehmen, zeigten den Teilnehmerinnen, Teilnehmern und weiteren Personen, die an der Übungseinheit teilnehmen und sich unabhängig von ihrer geschlechtlichen Identität definieren, neue Techniken zur Verbesserung ihrer Fitness.",1816
"Dier Umfrageteilnehmer_in wurde gebeten, deren Meinung zu verschiedenen politischen Themen abzugeben.","Der Umfrageteilnehmer wurde gebeten, seine Meinung zu verschiedenen politischen Themen abzugeben.","Die Umfrageteilnehmerin wurde gebeten, ihre Meinung zu verschiedenen politischen Themen abzugeben.","Die Person, die an der Umfrage teilnimmt, unabhängig von ihrer geschlechtlichen Identität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität, wurde darum gebeten, ihre Meinung zu verschiedenen politischen Themen abzugeben.",1817
"Eine unbekannte Person hatte das Päckchen vor der Haustür abgelegt, ohne einE AbsenderIn anzugeben.","Ein Unbekannter hatte das Päckchen vor der Haustür abgelegt, ohne einen Absender anzugeben.","Eine Unbekannte hatte das Päckchen vor der Haustür abgelegt, ohne eine Absenderin anzugeben.","Eine unbekannte Person, deren Geschlechtsidentität nicht bekannt ist, hat das Päckchen vor der Haustür abgelegt, ohne eine Absenderin, einen Absender oder eine andere Person mit einer Geschlechtsidentität anzugeben.",1818
Die ferngesteuerte Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.,Die unbemannte Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.,Die unbefraute Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.,"Die ferngesteuerte Drohne, die sowohl von Personen unterschiedlichen Geschlechts als auch von verschiedenen Geschlechtsidentitäten bedient werden kann, lieferte die Pakete autonom und effizient an die vorgesehenen Adressen, die für alle Menschen, unabhängig von Geschlechtsidentität oder Geschlecht, bestimmt sind.",1819
Dier Unternehmer:in gründete deren erstes Start-up im Alter von nur 25 Jahren.,Der Unternehmer gründete sein erstes Start-up im Alter von nur 25 Jahren.,Die Unternehmerin gründete ihr erstes Start-up im Alter von nur 25 Jahren.,"Die Unternehmerin, der Unternehmer und Personen anderer geschlechtlicher Identität gründeten ihr erstes Start-up im Alter von nur 25 Jahren, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",1820
"Deren Unternehmer_innengeist und deren innovativen Ideen halfen dem Unternehmen, in kürzester Zeit zu wachsen und neue Märkte zu erschließen.","Sein Unternehmergeist und seine innovativen Ideen halfen dem Unternehmen, in kürzester Zeit zu wachsen und neue Märkte zu erschließen.","Ihr Unternehmerinnengeist und ihre innovativen Ideen halfen dem Unternehmen, in kürzester Zeit zu wachsen und neue Märkte zu erschließen.","Der Unternehmergeist der Personen, die als Unternehmerinnen, Unternehmer oder mit einer anderen geschlechtlichen Identität agieren, sowie deren innovativen Ideen haben dem Unternehmen dabei geholfen, in kürzester Zeit zu wachsen und neue Märkte zu erschließen. Dies schließt alle Geschlechteridentitäten mit ein, die aktiv zur Entwicklung und zum Erfolg des Unternehmens beitragen.",1821
"Die Unterzeichner:innen des Vertrags verpflichteten sich, die vereinbarten Bedingungen innerhalb der festgelegten Frist zu erfüllen.","Die Unterzeichner des Vertrags verpflichteten sich, die vereinbarten Bedingungen innerhalb der festgelegten Frist zu erfüllen.","Die Unterzeichnerinnen des Vertrags verpflichteten sich, die vereinbarten Bedingungen innerhalb der festgelegten Frist zu erfüllen.","Die Personen, die den Vertrag unterzeichnet haben, egal ob sie sich als Frauen, Männer oder Personen mit anderen geschlechtlichen Identitäten definieren, haben sich verpflichtet, die im Vertrag festgelegten Bedingungen innerhalb der vorgegebenen Frist zu erfüllen.",1822
"Das Recht auf Urheberschaft schützt die geistigen Eigentumsrechte von Literaturschaffenden, Kunstschaffenden und erfindenden Personen.","Das Urheberrecht schützt die geistigen Eigentumsrechte von Autoren, Künstlern und Erfindern.","Das Urheberinnenrecht schützt die geistigen Eigentumsrechte von Autorinnen, Künstlerinnen und Erfinderinnen.","Das Recht auf Urheberschaft schützt die geistigen Eigentumsrechte von Personen, die literarische Werke schaffen, kunstschaffenden Individuen sowie erfindenden Menschen, ungeachtet ihrer Geschlechtsidentität. Dazu zählen Frauen, Männer sowie nicht-binäre, genderqueere und andere Personen, die in den Bereichen Literatur, Kunst und Erfindungen tätig sind.",1823
Die Urlauber/innen erkundeten die Sehenswürdigkeiten der Stadt und probierten lokale Spezialitäten.,Die Urlauber erkundeten die Sehenswürdigkeiten der Stadt und probierten lokale Spezialitäten.,Die Urlauberinnen erkundeten die Sehenswürdigkeiten der Stadt und probierten lokale Spezialitäten.,"Die Urlauber, Urlauberinnen und Personen mit anderen geschlechtlichen Identitäten, die ihre Zeit in der Stadt verbringen, erkundeten die verschiedenen Sehenswürdigkeiten, die diese Stadt zu bieten hat, und genossen dabei eine Vielzahl von lokalen Spezialitäten aus der regionalen Küche, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität.",1824
... Wie viele UserInnen hat diese Website?,... Wie viele User hat diese Website?,... Wie viele Userinnen hat diese Website?,"'Wie viele Nutzerinnen, Nutzer und Personen anderer Geschlechtsidentitäten hat diese Website, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren?'",1825
Die überbringende Person der Nachricht wartete geduldig auf eine Antwort.,Der Überbringer der Nachricht wartete geduldig auf eine Antwort.,Die Überbringerin der Nachricht wartete geduldig auf eine Antwort.,"Die Person, die die Nachricht überbrachte, wartete geduldig auf eine Antwort, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person, die sich als nicht-binär oder auf andere Weise identifiziert.",1826
Dey ließ sich von deren Emotionen überwältigen.,Er ließ sich von seinen Emotionen übermannen.,Sie ließ sich von seinen Emotionen überwältigen.,"Dey ließ sich von den Emotionen, die sie, er oder eine Person mit einer anderen geschlechtlichen Identität empfinden konnte, überwältigen.",1827
Dey wurde von Gefühlen überwältigt und brach in Tränen aus.,Er wurde von Gefühlen übermannt und brach in Tränen aus.,Sie wurde von Gefühlen überwältigt und brach in Tränen aus.,"Dey, eine Person, die sich in Bezug auf ihre Geschlechtsidentität nicht notwendigerweise einem traditionellen Geschlechterkatalog zuordnen lässt, wurde von intensiven Gefühlen überwältigt und konnte ihre Emotionen nicht zurückhalten, sodass sie in Tränen ausbrach.",1828
Dier Umschüler:in begann eine neue Ausbildung im IT-Bereich.,Der Umschüler begann eine neue Ausbildung im IT-Bereich.,Die Umschülerin begann eine neue Ausbildung im IT-Bereich.,"Die Umschülerinnen, Umschüler und Personen anderer geschlechtlicher Identität, die sich im Prozess der Umschulung befinden, haben eine neue Ausbildung im Bereich der Informationstechnologie (IT) begonnen.",1829
Die personenlose Raumfahrtmission war ein großer Erfolg.,Die unbemannte Raumfahrtmission war ein großer Erfolg.,Die personenlose Raumfahrtmission war ein großer Erfolg.,"Die Raumfahrtmission, die ohne die Anwesenheit von Menschen durchgeführt wurde, war ein großer Erfolg und zeigte die Fortentwicklung der Technologie sowie die Fähigkeiten der Teams von Fachleuten, unabhängig von deren Geschlechtsidentität, die hinter den Kulissen arbeiten. Diese Fachleute, seien es Frauen, Männer oder Personen mit anderen Geschlechtsidentitäten, haben gemeinsam an dieserMission gearbeitet und zum Gelingen beigetragen.",1830
Dier größte:r Unterstützer_in erhielt zum Ende eine Urkunde.,Der größte Unterstützer erhielt zum Ende eine Urkunde.,Die größte Unterstützerin erhielt zum Ende eine Urkunde.,"Die größte Unterstützerin, der größte Unterstützer sowie Personen mit anderen geschlechtlichen Identitäten, die sich als Unterstützer oder Unterstützerin verstehen, erhielten zum Ende der Veranstaltung eine Urkunde, die ihr Engagement und ihren Beitrag würdigt, unabhängig von der jeweiligen Geschlechtsidentität.",1831
Die Kampagne hatte viele treue UnterstützerInnen.,Die Kampagne hatte viele treue Unterstützer.,Die Kampagne hatte viele treue Unterstützerinnen.,"Die Kampagne hatte zahlreiche treue Unterstützerinnen, Unterstützer und Personen mit anderen geschlechtlichen Identitäten, die sich aktiv für die Ziele der Kampagne einsetzen und deren Engagement und Loyalität zu schätzen wissen, unabhängig von ihrer Geschlechtsidentität.",1832
Dier UnterzeichnerIn des Vertrags akzeptierte die Bedingungen.,Der Unterzeichner des Vertrags akzeptierte die Bedingungen.,Die Unterzeichnerin des Vertrags akzeptierte die Bedingungen.,"Die Person, die den Vertrag unterzeichnet hat, unabhängig davon, ob sie sich als Frau, Mann oder einer anderen Geschlechtsidentität sieht, hat die Bedingungen des Vertrags akzeptiert.",1833
"Dier Urheber:in des Gemäldes bleibt oft anonym, aber deren Kunst spricht für sich selbst.","Der Urheber des Gemäldes bleibt oft anonym, aber seine Kunst spricht für sich selbst.","Die Urheberin des Gemäldes bleibt oft anonym, aber ihre Kunst spricht für sich selbst.","Die Person, die das Gemälde geschaffen hat, bleibt häufig anonym und unbenannt, jedoch spricht die Kunst dieser kreativen Schöpferin, dieses kreativen Schöpfers oder dieser Person mit einer anderen geschlechtlichen Identität für sich selbst und entfaltet ihre eigene Ausdruckskraft, unabhängig von der Identität der schaffenden Person.",1834
Dier Urlauber:in entspannte sich am Strand und genoss die warme Sonne.,Der Urlauber entspannte sich am Strand und genoss die warme Sonne.,Die Urlauberin entspannte sich am Strand und genoss die warme Sonne.,"Die Urlauberinnen, Urlauber und Personen mit anderen geschlechtlichen Identitäten, die sich in der Ferienzeit am Strand aufhalten, entspannten sich in der warmen Sonne und genossen das angenehme Wetter, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",1835
Die die App nutzende Person meldet regelmäßig Fehler an das Entwicklungsteam zurück.,Der User der App meldet regelmäßig Fehler an das Entwicklungsteam zurück.,Die Userin der App meldet regelmäßig Fehler an das Entwicklungsteam zurück.,"Die Personen, die die App nutzen, gleich welcher Geschlechtsidentität sie angehören, melden regelmäßig Fehler und Rückmeldungen an das Entwicklungsteam zurück, um einen kontinuierlichen Verbesserungsprozess der Anwendung zu unterstützen.",1836
Das Elternteil hat bereits die Geburtstagsgeschenke besorgt.,Der Vater hat bereits die Geburtstagsgeschenke besorgt.,Die Mutter hat bereits die Geburtstagsgeschenke besorgt.,"Das Elternteil, unabhängig davon, ob es sich um eine Mutter, einen Vater oder eine Person mit einer anderen geschlechtlichen Identität handelt, hat bereits die Geschenke zum Geburtstag besorgt.",1837
... Bei der Geburt eines Kindes steht dem anderen Elternteil ein Tag bezahlter Sonderurlaub zu.,... Bei der Geburt eines Kindes steht dem Vater ein Tag bezahlter Sonderurlaub zu.,... Bei der Geburt eines Kindes steht dem anderen Elternteil ein Tag bezahlter Sonderurlaub zu.,"Bei der Geburt eines Kindes steht dem anderen Elternteil, unabhängig von dessen Geschlechtsidentität – sei es eine Frau, ein Mann oder eine Person, die sich außerhalb der binären Geschlechtervorstellungen identifiziert – ein Tag bezahlter Sonderurlaub zu, um die frische Familienkonstellation zu unterstützen und gemeinsam Zeit mit dem neugeborenen Kind zu verbringen.",1838
"Für viele ist das Heimatland ein Ort der Verbundenheit und der gemeinsamen Geschichte, der stolz gemacht und verteidigt wird.","Für viele ist das Vaterland ein Ort der Verbundenheit und der gemeinsamen Geschichte, der stolz gemacht und verteidigt wird.","Für viele ist das Mutterland ein Ort der Verbundenheit und der gemeinsamen Geschichte, der stolz gemacht und verteidigt wird.","Für viele Menschen, unabhängig von ihrer Geschlechtsidentität, ist das Heimatland ein Ort, der ein Gefühl der Verbundenheit, Gemeinschaft und gemeinsamer Geschichte vermittelt. Dieser Ort wird mit Stolz betrachtet, wertgeschätzt und von den Menschen, egal ob sie sich als Frau, Mann oder in einer anderen Form der Geschlechtsidentität definieren, verteidigt und beschützt.",1839
"Dier Veganer:in bevorzugt eine Ernährung, die frei von tierischen Produkten wie Fleisch, Milch und Eiern ist.","Der Veganer bevorzugt eine Ernährung, die frei von tierischen Produkten wie Fleisch, Milch und Eiern ist.","Die Veganerin bevorzugt eine Ernährung, die frei von tierischen Produkten wie Fleisch, Milch und Eiern ist.","Die Person, die sich als Veganer oder Veganerin identifiziert und möglicherweise auch andere geschlechtliche Identitäten hat, bevorzugt eine Ernährung, die vollständig frei von tierischen Produkten ist, einschließlich Fleisch, Milch, Eiern und allen anderen Erzeugnissen tierischen Ursprungs.",1840
"Dier Vegetarier/in genießt deren Gemüsecurry, das frei von Fleisch oder Fisch ist, während dey mit Freund/innen im Restaurant sitzt.","Der Vegetarier genießt sein Gemüsecurry, das frei von Fleisch oder Fisch ist, während er mit Freunden im Restaurant sitzt.","Die Vegetarierin genießt ihr Gemüsecurry, das frei von Fleisch oder Fisch ist, während sie mit Freundinnen im Restaurant sitzt.","Die Person, die sich als Vegetarierin oder Vegetarier identifiziert, genießt das schmackhafte Gemüsecurry, das keinerlei Fleisch oder Fisch enthält, während sie in netter Gesellschaft von Freundinnen, Freunden und Personen anderer Geschlechtsidentitäten in einem Restaurant verweilt.",1841
Dier Veranstalter:in des Musikfestivals sorgte für eine reibungslose Organisation und ein abwechslungsreiches Programm für die Besucher:innen.,Der Veranstalter des Musikfestivals sorgte für eine reibungslose Organisation und ein abwechslungsreiches Programm für die Besucher.,Die Veranstalterin des Musikfestivals sorgte für eine reibungslose Organisation und ein abwechslungsreiches Programm für die Besucherinnen.,"Die Veranstaltenden des Musikfestivals, unabhängig davon, ob sie als Veranstalter, Veranstalterin oder mit einer anderen geschlechtlichen Identität wahrgenommen werden, sorgten für eine reibungslose Organisation des Events sowie ein abwechslungsreiches Programm für alle Besucherinnen, Besucher und Personen mit sonstigen geschlechtlichen Identitäten, die an dem Festival teilnehmen.",1842
"Dier VerbraucherIn vergleicht Preise und Qualität, bevor dey sich für den Kauf eines neuen Produkts entscheidet.","Der Verbraucher vergleicht Preise und Qualität, bevor er sich für den Kauf eines neuen Produkts entscheidet.","Die Verbraucherin vergleicht Preise und Qualität, bevor sie sich für den Kauf eines neuen Produkts entscheidet.","Die Verbraucherinnen, Verbraucher und Personen mit anderen geschlechtlichen Identitäten, die aktiv an Kaufentscheidungen beteiligt sind, vergleichen aufmerksam die Preise sowie die Qualität von Produkten, bevor sie sich für den Erwerb eines neuen Produkts entscheiden.",1843
"Der Konsumierendenschutz ist wichtig, um sicherzustellen, dass Produkte sicher sind und Konsumierende fair behandelt werden.","Der Verbraucherschutz ist wichtig, um sicherzustellen, dass Produkte sicher sind und Verbraucher fair behandelt werden.","Der Verbraucherinnenschutz ist wichtig, um sicherzustellen, dass Produkte sicher sind und Verbraucherinnen fair behandelt werden.","Der Schutz der Personen, die Konsumieren, ist von großer Bedeutung, um zu gewährleisten, dass Produkte sicher und vertrauenswürdig sind und dass alle Konsumierenden – dazu gehören Frauen, Männer und Menschen mit anderen geschlechtlichen Identitäten – fair und gleich behandelt werden, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren.",1844
Die Verbraucher:innenschützer:innen setzen sich aktiv für die Rechte der Verbraucher:innen ein und kämpfen gegen betrügerische Geschäftspraktiken.,Die Verbraucherschützer setzen sich aktiv für die Rechte der Verbraucher ein und kämpfen gegen betrügerische Geschäftspraktiken.,Die Verbraucherinnenschützerinnen setzen sich aktiv für die Rechte der Verbraucherinnen ein und kämpfen gegen betrügerische Geschäftspraktiken.,"Die Verbraucherinnen, Verbraucher und Personen anderer geschlechtlicher Identität, die sich für den Schutz und die Rechte von Konsumierenden einsetzen, engagieren sich aktiv dafür, die Interessen der Verbraucherinnen und Verbraucher zu wahren. Sie setzen sich auch entschieden gegen betrügerische Geschäftspraktiken ein, um ein faires und transparentes Geschäftsumfeld für alle zu fördern, unabhängig von deren Geschlechtsidentität.",1845
